Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",IDC-Header_2x07_P2.54mm_Vertical,2,Conn_02x07_Odd_Even,C11215
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,C32713268
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LEDC1608X70N,28,KT-0603R,C2286
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R3, R4, R5, R6, R7, R8, R9",ERA2AED122X,28,ERA2AEB201X,C445582
